Gender,Age,Height,Weight,BMI,EyesColor,Stability,Sociability,ZodiacSign,Relationship
Man,19-23,170,79,27.3356401384083,Dark,Stable,Extrovert,Summer,No
Woman,24-29,163,55,20.7008167413151,Light,Stable,Introvert,Winter,No
Man,24-29,180,70,21.6049382716049,Light,Unstable,Introvert,Fall,No
Woman,19-23,159,49,19.3821446936434,Light,Stable,Introvert,Fall,No
Man,19-23,180,76,23.4567901234568,Dark,Stable,Introvert,Winter,No
Man,19-23,170,75,25.9515570934256,Light,Stable,Introvert,Fall,No
Woman,19-23,165,56,20.5693296602388,Dark,Unstable,Extrovert,Summer,Yes
Woman,19-23,168,63,22.3214285714286,Dark,Stable,Introvert,Spring,Yes
Man,24-29,183,83,24.7842575173938,Dark,Unstable,Introvert,Spring,No
Man,24-29,186,74,21.3897560411608,Light,Stable,Extrovert,Winter,No
Man,19-23,173,92,30.7394166193324,Dark,Stable,Introvert,Winter,Yes
Woman,24-29,157,53,21.5018864862672,Dark,Stable,Introvert,Fall,Yes
Woman,19-23,166,53,19.2335607490202,Light,Unstable,Extrovert,Spring,No
Woman,19-23,160,57,22.265625,Light,Unstable,Introvert,Spring,Yes
Woman,19-23,163,53,19.9480597689036,Dark,Unstable,Introvert,Summer,No
Man,24-29,178,66,20.8307031940412,Dark,Unstable,Extrovert,Winter,No
Woman,19-23,172,63,21.295294753921,Light,Stable,Introvert,Summer,No
Woman,19-23,162,63,24.0054869684499,Dark,Unstable,Extrovert,Fall,No
Woman,19-23,171,63,21.5450907971684,Dark,Stable,Extrovert,Spring,Yes
Woman,30+,178,80,25.2493372048984,Dark,Stable,Extrovert,Fall,Yes
Man,30+,175,110,35.9183673469388,Dark,Stable,Extrovert,Spring,Yes
Woman,24-29,173,57,19.0450733402386,Dark,Stable,Extrovert,Spring,Yes
Woman,24-29,171,70,23.9389897746315,Light,Stable,Extrovert,Spring,Yes
Woman,24-29,165,65,23.8751147842057,Dark,Unstable,Extrovert,Spring,Yes
Woman,19-23,172,63,21.295294753921,Light,Unstable,Extrovert,Spring,No
Woman,19-23,164,55,20.4491374182035,Dark,Stable,Extrovert,Winter,Yes
Woman,24-29,164,55,20.4491374182035,Dark,Stable,Introvert,Spring,No
Woman,19-23,156,51,20.956607495069,Light,Stable,Extrovert,Summer,Yes
Woman,24-29,163,57,21.4535737137265,Dark,Unstable,Extrovert,Spring,Yes
Woman,19-23,163,60,22.5827091723437,Dark,Unstable,Introvert,Fall,Yes
Man,19-23,169,75,26.2595847484332,Light,Stable,Extrovert,Summer,No
Man,19-23,180,82,25.3086419753086,Light,Unstable,Extrovert,Summer,No
Woman,30+,170,70,24.2214532871972,Light,Stable,Extrovert,Fall,Yes
Woman,19-23,170,67,23.1833910034602,Light,Unstable,Extrovert,Summer,Yes
Woman,19-23,173,57,19.0450733402386,Dark,Stable,Extrovert,Summer,Yes
Woman,19-23,163,54,20.3244382551093,Dark,Unstable,Introvert,Spring,No
Man,19-23,178,93,29.3523545006944,Dark,Stable,Extrovert,Winter,No
Woman,19-23,165,68,24.9770431588613,Light,Unstable,Extrovert,Summer,Yes
Woman,19-23,157,52,21.0961905148282,Dark,Unstable,Extrovert,Summer,Yes
Man,30+,186,107,30.9284310324893,Light,Unstable,Extrovert,Spring,Yes
Man,24-29,182,75,22.6421929718633,Dark,Stable,Introvert,Winter,Yes
Man,19-23,195,88,23.1426692965155,Dark,Unstable,Extrovert,Summer,No
Woman,19-23,164,53,19.7055324211779,Dark,Unstable,Introvert,Fall,Yes
Woman,19-23,158,44,17.6253805479891,Dark,Stable,Introvert,Winter,Yes
Woman,19-23,172,75,25.3515413737155,Dark,Unstable,Extrovert,Summer,No
Woman,19-23,165,48,17.6308539944904,Dark,Unstable,Extrovert,Summer,Yes
Woman,19-23,175,63,20.5714285714286,Dark,Stable,Introvert,Spring,Yes
Man,19-23,180,75,23.1481481481481,Dark,Unstable,Extrovert,Winter,No
Man,19-23,185,89,26.0043827611395,Dark,Unstable,Extrovert,Summer,No
Man,19-23,187,80,22.8774057021934,Dark,Unstable,Introvert,Spring,No
Man,19-23,186,72,20.8116545265349,Dark,Stable,Extrovert,Summer,No
Man,19-23,168,85,30.1162131519274,Dark,Stable,Introvert,Summer,No
Woman,19-23,175,70,22.8571428571429,Light,Unstable,Introvert,Fall,No
Woman,19-23,170,55,19.0311418685121,Dark,Unstable,Extrovert,Winter,No
Woman,19-23,175,65,21.2244897959184,Dark,Stable,Introvert,Spring,No
Woman,19-23,175,60,19.5918367346939,Dark,Stable,Introvert,Winter,Yes
Woman,24-29,170,58,20.0692041522491,Dark,Stable,Introvert,Summer,Yes
Woman,19-23,170,61,21.1072664359862,Dark,Unstable,Introvert,Spring,No
Woman,19-23,162,56,21.3382106386222,Dark,Unstable,Extrovert,Fall,No
Man,24-29,183,76,22.6940189315895,Dark,Stable,Introvert,Winter,Yes
Woman,19-23,159,54,21.3599145603418,Light,Stable,Extrovert,Spring,Yes
Woman,19-23,164,54,20.0773349196907,Dark,Stable,Extrovert,Spring,Yes
Man,19-23,175,75,24.4897959183673,Dark,Stable,Extrovert,Summer,Yes
Man,24-29,186,72,20.8116545265349,Dark,Stable,Introvert,Spring,Yes
Man,19-23,169,69,24.1588179685585,Dark,Stable,Introvert,Summer,No
Man,19-23,181,77,23.5035560575074,Dark,Stable,Introvert,Summer,Yes
Woman,19-23,172,50,16.901027582477,Dark,Stable,Extrovert,Fall,Yes
Woman,19-23,172,60,20.2812330989724,Dark,Unstable,Extrovert,Fall,No
Woman,19-23,165,72,26.4462809917355,Dark,Unstable,Extrovert,Winter,No
Woman,19-23,158,48,19.2276878705336,Light,Stable,Introvert,Winter,No
Woman,19-23,172,63,21.295294753921,Dark,Unstable,Introvert,Winter,No
Man,19-23,190,84,23.2686980609418,Dark,Stable,Introvert,Spring,No
Man,19-23,170,70,24.2214532871972,Dark,Stable,Introvert,Winter,No
Man,19-23,176,78,25.1807851239669,Dark,Unstable,Extrovert,Spring,No
Man,19-23,168,70,24.8015873015873,Dark,Stable,Introvert,Winter,No
Woman,30+,167,74,26.5337588296461,Dark,Stable,Extrovert,Winter,Yes
Man,30+,180,85,26.2345679012346,Dark,Unstable,Extrovert,Winter,Yes
Woman,24-29,173,68,22.7204383708109,Dark,Unstable,Extrovert,Spring,Yes
Man,24-29,178,70,22.0931700542861,Dark,Unstable,Extrovert,Spring,No
Man,19-23,180,70,21.6049382716049,Light,Stable,Extrovert,Summer,No
Man,19-23,180,70,21.6049382716049,Dark,Stable,Introvert,Spring,Yes
Woman,24-29,167,57,20.4381655849977,Light,Unstable,Extrovert,Summer,Yes
Woman,19-23,167,70,25.0995015956112,Dark,Stable,Extrovert,Summer,Yes
Woman,19-23,165,68,24.9770431588613,Light,Stable,Extrovert,Winter,Yes
Man,19-23,178,72,22.7244034844085,Light,Unstable,Extrovert,Fall,Yes
